device,runner,a_dtype,b_dtype,group_size,m,k,n,latency
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,32,8192,8192,0.060416001826524734
NVIDIA-GeForce-RTX-4090,gemlite,float16,uint4b,128,32,8192,8192,0.10751999914646149
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,32,8192,8192,0.46694400906562805
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,32,12288,8192,0.2826240062713623
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,32,12288,8192,0.09120000153779984
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,32,12288,8192,0.17510400712490082
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,32,12288,8192,0.08499199897050858
NVIDIA-GeForce-RTX-4090,gemlite,float16,uint4b,128,32,12288,8192,0.14131200313568115
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,32,12288,8192,0.7229440212249756
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,64,8192,8192,0.20478399842977524
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,64,8192,8192,0.07884799689054489
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,64,8192,8192,0.13516800105571747
